colour	fill	x	y	key	showSelectedlegendcolour	showSelectedlegendfill	showSelected1	PANEL
#FC8D62	#000000	32	0.326920771195644	validation	validation	un-regularized	2e-04	1
#66C2A5	#000000	32	0.199813375975851	train	train	un-regularized	2e-04	1
#FC8D62	#000000	32	0.326920771195644	validation	validation	un-regularized	3e-04	1
#66C2A5	#000000	32	0.199813375975851	train	train	un-regularized	3e-04	1
#FC8D62	#000000	32	0.326920771195644	validation	validation	un-regularized	6e-04	1
#66C2A5	#000000	32	0.199813375975851	train	train	un-regularized	6e-04	1
#FC8D62	#000000	32	0.326920771195644	validation	validation	un-regularized	0.001	1
#66C2A5	#000000	32	0.199813375975851	train	train	un-regularized	0.001	1
#FC8D62	#000000	32	0.326920771195644	validation	validation	un-regularized	0.0018	1
#66C2A5	#000000	32	0.199813375975851	train	train	un-regularized	0.0018	1
#FC8D62	#000000	32	0.326920771195644	validation	validation	un-regularized	0.0032	1
#66C2A5	#000000	32	0.199813375975851	train	train	un-regularized	0.0032	1
#FC8D62	#000000	32	0.326920771195644	validation	validation	un-regularized	0.0056	1
#66C2A5	#000000	32	0.199813375975851	train	train	un-regularized	0.0056	1
#FC8D62	#000000	32	0.326920771195644	validation	validation	un-regularized	0.01	1
#66C2A5	#000000	32	0.199813375975851	train	train	un-regularized	0.01	1
#FC8D62	#000000	32	0.326920771195644	validation	validation	un-regularized	0.0178	1
#66C2A5	#000000	32	0.199813375975851	train	train	un-regularized	0.0178	1
#FC8D62	#000000	32	0.326920771195644	validation	validation	un-regularized	0.0316	1
#66C2A5	#000000	32	0.199813375975851	train	train	un-regularized	0.0316	1
#FC8D62	#000000	32	0.326920771195644	validation	validation	un-regularized	0.0562	1
#66C2A5	#000000	32	0.199813375975851	train	train	un-regularized	0.0562	1
